mL,mAU
8.116,0.041055556
8.123,0.045055556
8.13,0.048055556
8.137,0.049055556
8.144,0.052055556
8.151,0.058055556
8.158,0.065055556
8.165,0.069055556
8.172,0.073055556
8.179,0.077055556
8.186,0.079055556
8.193,0.084055556
8.2,0.090055556
8.207,0.099055556
8.214,0.100055556
8.221,0.103055556
8.228,0.108055556
8.235,0.117055556
8.242,0.121055556
8.249,0.125055556
8.256,0.129055556
8.263,0.137055556
8.27,0.143055556
8.277,0.146055556
8.284,0.157055556
8.291,0.164055556
8.298,0.170055556
8.305,0.175055556
8.312,0.181055556
8.319,0.186055556
8.326,0.189055556
8.333,0.196055556
8.34,0.207055556
8.347,0.222055556
8.354,0.233055556
8.361,0.241055556
8.368,0.249055556
8.375,0.268055556
8.382,0.278055556
8.389,0.286055556
8.396,0.295055556
8.403,0.305055556
8.41,0.313055556
8.417,0.320055556
8.424,0.338055556
8.431,0.349055556
8.438,0.357055556
8.445,0.370055556
8.452,0.385055556
8.459,0.399055556
8.466,0.410055556
8.473,0.419055556
8.48,0.431055556
8.487,0.445055556
8.494,0.454055556
8.501,0.472055556
8.509,0.491055556
8.516,0.498055556
8.523,0.506055556
8.53,0.516055556
8.537,0.528055556
8.544,0.533055556
8.551,0.536055556
8.558,0.538055556
8.565,0.550055556
8.572,0.558055556
8.579,0.562055556
8.586,0.562055556
8.593,0.559055556
8.6,0.557055556
8.607,0.557055556
8.614,0.557055556
8.621,0.557055556
8.628,0.558055556
8.635,0.554055556
8.642,0.552055556
8.649,0.549055556
8.656,0.544055556
8.663,0.538055556
8.67,0.530055556
8.677,0.519055556
8.684,0.515055556
8.691,0.512055556
8.698,0.508055556
8.705,0.498055556
8.712,0.493055556
8.719,0.487055556
8.726,0.478055556
8.733,0.476055556
8.74,0.473055556
8.747,0.470055556
8.754,0.470055556
8.761,0.470055556
8.768,0.471055556
8.775,0.472055556
8.782,0.474055556
8.789,0.476055556
8.796,0.478055556
8.803,0.482055556
8.81,0.489055556
8.817,0.500055556
8.824,0.507055556
8.831,0.521055556
8.838,0.538055556
8.845,0.545055556
8.852,0.557055556
8.859,0.575055556
8.866,0.599055556
8.873,0.610055556
8.88,0.620055556
8.887,0.631055556
8.894,0.663055556
8.901,0.685055556
8.908,0.700055556
8.916,0.713055556
8.923,0.745055556
8.93,0.777055556
8.937,0.800055556
8.944,0.838055556
8.951,0.866055556
8.958,0.882055556
8.965,0.904055556
8.972,0.937055556
8.979,0.971055556
8.986,0.991055556
8.993,1.005055556
9,1.027055556
9.007,1.062055556
9.014,1.079055556
9.021,1.096055556
9.028,1.116055556
9.035,1.144055556
